category,Brand,title,price,original-price,id,f-Assured,Free delivery,Special Offer,Sorted by,start_url
jeans,Aakarshak,Jogger Fit Women Multicolor Jeans,135,799,JEAGA3PQGVYHQVZG,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Kcoy,Regular Boys Dark Blue Jeans,198,599,JEAGADSRFVGBAHRV,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Kcoy,Regular Boys Dark Blue Jeans,198,599,JEAGADSJHHRGWHZF,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Kcoy,Slim Boys Dark Blue Jeans,179,599,JEAG9YT7SSSB9GDB,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,PENTRAIN,Skinny Girls Black Jeans,199,599,JEAGAJ2ARPTHQKFU,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,AH Zeeshan,Jogger Fit Boys Dark Blue Jeans,199,799,JEAGC6A2DZQUWCPS,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,NAFIA FASHION,Regular Men & Women Blue Jeans,275,699,JEAG3X6CGHYGHFJE,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Pasad genuine,Slim Men White Jeans,275,999,JEAGA4CZS3TCQPDC,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Lezendary Apparels,Tapered Fit Men Black Jeans,279,999,JEAGAZYNRDJ29UMG,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Billion,Flexi Regular Men Blue Jeans,279,"1,099",JEAFBPEKXESZZ8UP,f_Assured,,"Buy 2 items, save extra 5%",price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Kcoy,Slim Men Dark Blue Jeans,283,799,JEAG8PPUAZVJBZGP,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,GTW,Slim Men Dark Blue Jeans,285,999,JEAGAQJSADB5MTY4,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,COMFIT,Slim Men Black Jeans,285,"1,399",JEAG5DMDNKSEHZ2X,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,Dotiq,Slim Women Black Jeans,139,999,JEAGEGFRHEXCPXMV,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,PENTRAIN,Skinny Girls Black Jeans,199,599,JEAGAJ2AMZDNFA2K,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,NAFIA FASHION,Regular Women Light Blue Jeans,140,999,JEAGF9PNYZ58VTFQ,,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
jeans,AREEBA COLLECTION,Regular Women Light Blue Jeans,140,999,JEAGF9WDT8TZ8EKF,f_Assured,,,price_asc,https://www.flipkart.com/search?q=jeans&sort=price_asc
